Lat,Long,DateTime UTC [YYMMDDHHmmss]
77.6652815,-66.4265574,2023-03-26T19:53:22
77.6652826,-66.4265995,2023-03-26T20:00:25
77.6652829,-66.4266636,2023-03-26T20:15:30
77.6652744,-66.4267734,2023-03-26T20:30:31
77.6652856,-66.4268314,2023-03-26T20:45:31
77.6652662,-66.4267038,2023-03-26T21:00:29
77.6653056,-66.4266089,2023-03-26T21:15:30
77.6653145,-66.4266071,2023-03-26T21:30:30
77.6653245,-66.4266655,2023-03-26T21:45:31
77.6653277,-66.4267014,2023-03-26T22:00:30
77.6653191,-66.4266964,2023-03-26T22:15:30
77.6653326,-66.42666,2023-03-26T22:30:31
77.665344,-66.4266759,2023-03-26T22:45:31
77.6653408,-66.4266683,2023-03-26T23:00:29
77.6652942,-66.4267989,2023-03-26T23:15:30
77.6652858,-66.4267949,2023-03-26T23:30:30
77.6652907,-66.4267792,2023-03-26T23:45:31
77.6652823,-66.4266767,2023-03-27T00:00:31
77.6652803,-66.4266802,2023-03-27T00:15:32
77.6652708,-66.4266021,2023-03-27T00:30:31
77.6652603,-66.4265742,2023-03-27T00:45:32
77.6652708,-66.4265712,2023-03-27T01:00:29
77.6652687,-66.426533,2023-03-27T01:15:30
77.6652739,-66.4265156,2023-03-27T01:30:31
77.6652893,-66.4264313,2023-03-27T01:45:30
77.6652919,-66.426643,2023-03-27T02:00:29
77.6652919,-66.4266082,2023-03-27T02:15:30
77.6652875,-66.4266913,2023-03-27T02:30:31
77.6652764,-66.4267128,2023-03-27T02:45:30
77.6652849,-66.4266762,2023-03-27T03:00:29
77.6652814,-66.4267566,2023-03-27T03:15:30
77.6652791,-66.4267672,2023-03-27T03:30:30
77.6652945,-66.4266881,2023-03-27T03:45:31
77.6652956,-66.4266047,2023-03-27T04:00:29
77.6653216,-66.4265124,2023-03-27T04:15:30
77.6653064,-66.4265386,2023-03-27T04:30:32
77.6652837,-66.426524,2023-03-27T04:45:31
77.6652742,-66.4265348,2023-03-27T05:00:29
77.6653015,-66.4265287,2023-03-27T05:15:31
77.6652832,-66.4267186,2023-03-27T05:30:32
77.6652819,-66.4266503,2023-03-27T05:45:31
77.665282,-66.4266663,2023-03-27T06:00:28
77.6652791,-66.4266929,2023-03-27T06:15:30
77.6652809,-66.4265861,2023-03-27T06:30:30
77.6652766,-66.4266222,2023-03-27T06:45:30
77.665278,-66.42667,2023-03-27T07:00:32
77.6652736,-66.4267232,2023-03-27T07:15:30
77.6652722,-66.4267181,2023-03-27T07:30:30
77.6652606,-66.4266992,2023-03-27T07:45:30
77.665268,-66.4266914,2023-03-27T08:00:30
77.6652702,-66.426609,2023-03-27T08:15:30
77.6652767,-66.4266042,2023-03-27T08:30:30
77.665298,-66.4265324,2023-03-27T08:45:32
77.6652913,-66.4266545,2023-03-27T09:00:30
77.6652899,-66.4267531,2023-03-27T09:15:32
77.6652908,-66.4267516,2023-03-27T09:30:31
77.6652902,-66.4267094,2023-03-27T09:45:32
77.6653176,-66.4266011,2023-03-27T10:00:30
77.6652752,-66.4268147,2023-03-27T10:15:31
77.6652912,-66.4267701,2023-03-27T10:30:31
77.6652769,-66.4268182,2023-03-27T10:45:30
77.6653042,-66.4266784,2023-03-27T11:00:29
77.6653001,-66.4265118,2023-03-27T11:15:31
77.6652893,-66.4267753,2023-03-27T11:30:32
77.6652833,-66.4267388,2023-03-27T11:45:30
77.6652761,-66.4267098,2023-03-27T12:00:31
77.6652807,-66.4266234,2023-03-27T12:15:30
77.665279,-66.4266805,2023-03-27T12:30:30
77.6652812,-66.4267286,2023-03-27T12:45:32
77.6652671,-66.426786,2023-03-27T13:00:29
77.665278,-66.4267424,2023-03-27T13:15:30
77.6652876,-66.4267254,2023-03-27T13:30:30
77.6652882,-66.4267896,2023-03-27T13:45:30
77.6652954,-66.4267865,2023-03-27T14:00:32
77.6653066,-66.4268093,2023-03-27T14:15:30
77.6652994,-66.4267566,2023-03-27T14:30:31
77.665299,-66.4269096,2023-03-27T14:45:30
77.6653142,-66.426867,2023-03-27T15:00:29
77.6653389,-66.4268515,2023-03-27T15:15:30
77.6653287,-66.426805,2023-03-27T15:30:32
77.6653363,-66.4268273,2023-03-27T15:45:31
77.6653433,-66.4268249,2023-03-27T16:00:30
77.6653324,-66.4268222,2023-03-27T16:15:30
77.6653417,-66.4266562,2023-03-27T16:30:31
77.6653357,-66.4267457,2023-03-27T16:45:32
77.6652941,-66.427097,2023-03-27T17:00:30
77.6652865,-66.427079,2023-03-27T17:15:30
77.665282,-66.4270295,2023-03-27T17:30:31
77.6652726,-66.4270998,2023-03-27T17:45:32
77.6652658,-66.4270825,2023-03-27T18:00:29
77.6652679,-66.4270179,2023-03-27T18:15:31
77.665289,-66.4269344,2023-03-27T18:30:31
77.6652596,-66.4269947,2023-03-27T18:45:32
77.6652578,-66.4269306,2023-03-27T19:00:33
77.6652535,-66.4269345,2023-03-27T19:15:31
77.6652448,-66.4267769,2023-03-27T19:30:31
77.665251,-66.4267589,2023-03-27T19:45:31
77.6652705,-66.4268521,2023-03-27T20:00:30
77.665316,-66.4269835,2023-03-27T20:15:31
77.6653039,-66.4270085,2023-03-27T20:30:31
77.6653069,-66.4271136,2023-03-27T20:45:32
77.665309,-66.4269914,2023-03-27T21:00:30
77.6653183,-66.4269557,2023-03-27T21:15:31
77.6653003,-66.4270307,2023-03-27T21:30:32
77.6652925,-66.426948,2023-03-27T21:45:33
77.6652999,-66.4269262,2023-03-27T22:00:30
77.6652831,-66.4269351,2023-03-27T22:15:33
77.6652902,-66.4269268,2023-03-27T22:30:33
77.6653116,-66.4269609,2023-03-27T22:45:31
77.665299,-66.4268837,2023-03-27T23:00:30
77.6653116,-66.4267519,2023-03-27T23:15:31
77.6653056,-66.4267953,2023-03-27T23:30:31
77.665292,-66.4267211,2023-03-27T23:45:31
77.6652958,-66.4267464,2023-03-28T00:00:29
77.6653085,-66.4266912,2023-03-28T00:15:30
77.6653023,-66.426713,2023-03-28T00:30:30
77.6652944,-66.4268895,2023-03-28T00:45:32
77.6652821,-66.4269134,2023-03-28T01:00:30
77.6652711,-66.4269639,2023-03-28T01:15:31
77.6652824,-66.4268187,2023-03-28T01:30:30
77.6652895,-66.426937,2023-03-28T01:45:31
77.6652853,-66.4269164,2023-03-28T02:00:29
77.6653038,-66.4267528,2023-03-28T02:15:34
77.6653053,-66.4266823,2023-03-28T02:30:31
77.6652981,-66.4267862,2023-03-28T02:45:30
77.6653062,-66.4268039,2023-03-28T03:00:29
77.6653108,-66.4266982,2023-03-28T03:15:32
77.6653058,-66.4267717,2023-03-28T03:30:32
77.6652873,-66.426785,2023-03-28T03:45:31
77.6652929,-66.4268039,2023-03-28T04:00:32
77.6652925,-66.4269046,2023-03-28T04:15:30
77.6652853,-66.4268942,2023-03-28T04:30:31
77.6652873,-66.4268995,2023-03-28T04:45:30
77.6652861,-66.426899,2023-03-28T05:00:29
77.6652949,-66.4268474,2023-03-28T05:15:31
77.6652844,-66.4268963,2023-03-28T05:30:30
77.6652888,-66.4269106,2023-03-28T05:45:31
77.6652793,-66.4268059,2023-03-28T06:00:29
77.6652723,-66.4268843,2023-03-28T06:15:30
77.6652808,-66.4268841,2023-03-28T06:30:30
77.6652884,-66.4267796,2023-03-28T06:45:30
77.6652968,-66.4267881,2023-03-28T07:00:30
77.6652942,-66.4269056,2023-03-28T07:15:32
77.6652903,-66.4269028,2023-03-28T07:30:33
77.6653055,-66.4268261,2023-03-28T07:45:31
77.6653024,-66.4267992,2023-03-28T08:00:31
77.6652957,-66.4268422,2023-03-28T08:15:30
77.665299,-66.4268695,2023-03-28T08:30:30
77.6652963,-66.4268872,2023-03-28T08:45:30
77.6652892,-66.4269516,2023-03-28T09:00:29
77.6653026,-66.4268953,2023-03-28T09:15:30
77.6653046,-66.4268885,2023-03-28T09:30:30
77.6653196,-66.4268585,2023-03-28T09:45:31
77.6652984,-66.4269242,2023-03-28T10:00:30
77.665305,-66.4268712,2023-03-28T10:15:30
77.6652997,-66.4269443,2023-03-28T10:30:31
77.6652987,-66.4269205,2023-03-28T10:45:30
77.6652919,-66.4268203,2023-03-28T11:00:29
77.665274,-66.4268407,2023-03-28T11:15:31
77.665278,-66.4269383,2023-03-28T11:30:32
77.6652867,-66.4269452,2023-03-28T11:45:32
77.6652993,-66.4269446,2023-03-28T12:00:32
77.6653039,-66.4269852,2023-03-28T12:15:32
77.665312,-66.4270777,2023-03-28T12:30:31
77.6653189,-66.4271139,2023-03-28T12:45:35
77.6653199,-66.4271321,2023-03-28T13:00:30
77.6653316,-66.4271129,2023-03-28T13:15:31
77.6653452,-66.4270491,2023-03-28T13:30:31
77.6653288,-66.4270533,2023-03-28T13:45:31
77.6653201,-66.4271382,2023-03-28T14:00:30
77.6653219,-66.4272131,2023-03-28T14:15:31
77.6653169,-66.4272045,2023-03-28T14:30:30
77.6652995,-66.4272446,2023-03-28T14:45:30
77.6652858,-66.4273038,2023-03-28T15:00:30
77.6652822,-66.4273428,2023-03-28T15:15:30
77.6652925,-66.4273945,2023-03-28T15:30:30
77.665272,-66.4274146,2023-03-28T15:45:30
77.6652638,-66.427396,2023-03-28T16:00:31
77.6652593,-66.4274124,2023-03-28T16:15:30
77.6652577,-66.4274219,2023-03-28T16:30:30
77.6652649,-66.4273677,2023-03-28T16:45:31
77.6652846,-66.4271948,2023-03-28T17:00:30
77.6652666,-66.4273211,2023-03-28T17:15:30
77.6652506,-66.4273486,2023-03-28T17:30:30
77.6652772,-66.42732,2023-03-28T17:45:30
77.6652863,-66.4271274,2023-03-28T18:00:30
77.6652986,-66.4270526,2023-03-28T18:15:30
77.6652958,-66.4272157,2023-03-28T18:30:30
77.6653017,-66.4270241,2023-03-28T18:45:31
77.6653105,-66.4271637,2023-03-28T19:00:29
77.665298,-66.4271603,2023-03-28T19:15:30
77.6653195,-66.4271167,2023-03-28T19:30:30
77.6653154,-66.4270001,2023-03-28T19:45:31
77.665304,-66.4270369,2023-03-28T20:00:30
77.6653058,-66.4270075,2023-03-28T20:15:30
77.6653023,-66.4271892,2023-03-28T20:30:30
77.6652827,-66.427221,2023-03-28T20:45:34
77.6653042,-66.4271489,2023-03-28T21:00:29
77.6653051,-66.427122,2023-03-28T21:15:30
77.6653034,-66.4271655,2023-03-28T21:30:31
77.6653135,-66.4270149,2023-03-28T21:45:30
77.6653078,-66.4270058,2023-03-28T22:00:29
77.6653167,-66.4270165,2023-03-28T22:15:31
77.665301,-66.4270549,2023-03-28T22:30:30
77.6653011,-66.4270609,2023-03-28T22:45:30
77.6652995,-66.4271591,2023-03-28T23:00:30
77.6652831,-66.4271244,2023-03-28T23:15:30
77.6652701,-66.4271825,2023-03-28T23:30:30
77.665277,-66.4271923,2023-03-28T23:45:30
77.6652622,-66.4271821,2023-03-29T00:00:30
77.6652539,-66.4272383,2023-03-29T00:15:30
77.6652691,-66.4270082,2023-03-29T00:30:30
77.665284,-66.4270055,2023-03-29T00:45:30
77.6653067,-66.4269888,2023-03-29T01:00:30
77.6653255,-66.4270575,2023-03-29T01:15:31
77.6653088,-66.427016,2023-03-29T01:30:31
77.6653015,-66.4269228,2023-03-29T01:45:31
77.6653022,-66.4269308,2023-03-29T02:00:29
77.665291,-66.4269309,2023-03-29T02:15:31
77.6652927,-66.4268981,2023-03-29T02:30:31
77.6653089,-66.4269553,2023-03-29T02:45:30
77.6653087,-66.4269561,2023-03-29T03:00:30
77.6652977,-66.4270189,2023-03-29T03:15:30
77.6653163,-66.4269902,2023-03-29T03:30:30
77.6653001,-66.4271241,2023-03-29T03:45:30
77.6652934,-66.4271184,2023-03-29T04:00:29
77.6652853,-66.4271674,2023-03-29T04:15:30
77.6652826,-66.4270908,2023-03-29T04:30:30
77.6652706,-66.427087,2023-03-29T04:45:30
77.6652875,-66.4270017,2023-03-29T05:00:29
77.665301,-66.4270059,2023-03-29T05:15:33
77.6652886,-66.427007,2023-03-29T05:30:31
77.665277,-66.4270898,2023-03-29T05:45:31
77.6652877,-66.4270674,2023-03-29T06:00:31
77.6652833,-66.4270602,2023-03-29T06:15:31
77.6652923,-66.4271366,2023-03-29T06:30:32
77.6652881,-66.4270673,2023-03-29T06:45:30
77.6653005,-66.4270219,2023-03-29T07:00:29
77.6653133,-66.4269672,2023-03-29T07:15:30
77.6653186,-66.4269866,2023-03-29T07:30:30
77.6653166,-66.4269669,2023-03-29T07:45:30
77.6653117,-66.4269598,2023-03-29T08:00:29
77.6653078,-66.4270248,2023-03-29T08:15:31
77.6652929,-66.4270521,2023-03-29T08:30:32
77.6652815,-66.4271038,2023-03-29T08:45:31
77.6652733,-66.427195,2023-03-29T09:00:29
77.6652804,-66.4270882,2023-03-29T09:15:31
77.6652762,-66.4270384,2023-03-29T09:30:32
77.6652794,-66.4269797,2023-03-29T09:45:33
77.6652697,-66.4270337,2023-03-29T10:00:29
77.6652733,-66.4271423,2023-03-29T10:15:31
77.6652915,-66.4271094,2023-03-29T10:30:31
77.6652793,-66.4271946,2023-03-29T10:45:30
77.6652836,-66.4271822,2023-03-29T11:00:30
77.6652924,-66.4272859,2023-03-29T11:15:30
77.6652981,-66.4271938,2023-03-29T11:30:30
77.6652936,-66.4271929,2023-03-29T11:45:30
77.6653002,-66.4272584,2023-03-29T12:00:29
77.6653048,-66.427122,2023-03-29T12:15:31
77.665309,-66.4270861,2023-03-29T12:30:30
77.6653084,-66.4271681,2023-03-29T12:45:30
77.6652815,-66.4273338,2023-03-29T13:00:30
77.6652756,-66.4273453,2023-03-29T13:15:30
77.6652698,-66.4272726,2023-03-29T13:30:30
77.6652639,-66.4272847,2023-03-29T13:45:30
77.6652532,-66.427457,2023-03-29T14:00:29
77.6652364,-66.4274819,2023-03-29T14:15:31
77.6652285,-66.4274074,2023-03-29T14:30:32
77.6652642,-66.4273679,2023-03-29T14:45:30
77.665244,-66.427356,2023-03-29T15:00:30
77.6652589,-66.4271816,2023-03-29T15:15:30
77.6652607,-66.427184,2023-03-29T15:30:30
77.6652617,-66.427257,2023-03-29T15:45:31
